Company,returnOnEquity,industry,dividendYield,grossMargins,marketCap,returnOnAssets,trailingEps,enterpriseValue,forwardPE,sector,freeCashflow,netIncomeToCommon,profitMargins,totalRevenue,debtToEquity,beta,currentRatio,operatingMargins,trailingPE,quickRatio,forwardEps
ACB,-0.05789,Drug Manufacturers - Specialty & Generic,,0.53117,262368000.0,-0.01244,-0.48,261440536576.0,-43.454548,Healthcare,-84084000.0,-29765000.0,-0.14708,296987008.0,17.32,2.697,3.829,-0.01727,,1.146,-0.11
ACCD,-0.18611999,Health Information Services,,0.48238,294765792.0,-0.07271,-1.02,299223712.0,-4.357143,Healthcare,33368876.0,-80097000.0,-0.18160999,441028000.0,56.446,2.016,2.72,-0.2364,,2.569,-0.84
ACCO,-0.24988002,Business Equipment & Supplies,0.0475,0.33391997,587007936.0,0.03546,-1.9,1487607936.0,5.495652,Industrials,187675008.0,-181600000.0,-0.106400006,1706700032.0,162.892,1.615,1.595,0.07745,,0.859,1.15
ACDC,-0.15637,Oil & Gas Equipment & Services,,0.34512,1189892224.0,0.01549,-1.46,2598389248.0,-30.958334,Energy,160675008.0,-212800000.0,-0.09347,2225299968.0,106.23,0.846,0.952,0.01165,,0.555,-0.24
ACEL,0.21152,Gambling,,0.30148,999650176.0,0.07842,0.51,1287711616.0,14.11628,Consumer Cyclical,62287000.0,42885000.0,0.03543,1210525056.0,271.02,1.476,2.709,0.072280005,23.803923,2.346,0.86
ACET,-0.57908,Biotechnology,,,103825256.0,-0.29298002,-2.52,-97815752.0,-0.9473684,Healthcare,-55261000.0,-137291008.0,,,8.137,1.698,12.754,,,12.515,-1.33
ACGL,0.30441,Insurance - Diversified,,0.3977,37812318208.0,0.04861,14.9,36789084160.0,11.117257,Financial Services,6641249792.0,5671000064.0,0.33859003,16867000320.0,12.243,0.613,0.603,0.24947001,6.7449665,0.321,9.04
ACGLN,0.30441,Insurance - Diversified,0.054899998,0.3977,,0.04861,4.691,6897889280.0,,Financial Services,6641249792.0,5671000064.0,0.33859003,16867000320.0,12.243,0.613,0.603,0.24947001,4.4191003,0.321,
ACGLO,0.30441,Insurance - Diversified,0.0583,0.3977,13620960256.0,0.04861,4.691,7883395584.0,,Financial Services,6641249792.0,5671000064.0,0.33859003,16867000320.0,12.243,0.613,0.603,0.24947001,4.9797487,0.321,
ACHC,0.09762,Medical Care Facilities,,0.43103,3849170944.0,0.06061,3.05,5891757056.0,11.291553,Healthcare,-434516992.0,280726016.0,0.089899994,3122524928.0,63.897,1.334,1.07,0.18047,13.586885,0.937,3.67
ACHL,-0.44219002,Biotechnology,,,44412472.0,-0.26819,-1.59,-47916584.0,-0.5561497,Healthcare,-30137000.0,-63967000.0,,,3.865,1.344,8.242,,,7.937,-1.87
ACHR,-1.07618,Aerospace & Defense,,,1940138880.0,-0.51717,-1.18,1494779776.0,-4.555556,Industrials,-295375008.0,-447800000.0,,,16.784,2.295,6.032,,,5.787,-0.99
ACHV,-1.86035,Biotechnology,,,153722848.0,-0.54089,-1.07,120657056.0,-3.8869565,Healthcare,-14935875.0,-32943000.0,,,31.375,1.583,6.779,,,6.389,-1.15
ACI,0.38118,Grocery Stores,0.0248,0.28423,11216177152.0,0.05053,1.71,25121779712.0,8.528635,Consumer Defensive,1525575040.0,998000000.0,0.012519999,79713697792.0,470.245,0.331,0.895,0.02273,11.321637,0.161,2.27
ACIC,0.44618,Insurance - Property & Casualty,,0.56001,646429056.0,0.064109996,1.8,570571072.0,8.94,Financial Services,,84825000.0,0.29251,290784000.0,46.73,-0.275,0.939,-0.1003,7.4500003,0.277,1.5
ACIU,-0.31164,Biotechnology,,-0.49925998,313649632.0,-0.12041,-0.46,161682992.0,-12.68,Healthcare,49502248.0,-39863000.0,-0.97291,40973000.0,2.369,1.277,1.858,0.28523,,1.823,-0.25
ACIW,0.17883,Software - Infrastructure,,0.52196,5854903808.0,0.07356,2.11,6711958016.0,27.497538,Technology,283791616.0,227179008.0,0.14042,1617812992.0,77.836,1.194,1.557,0.28375,26.454977,0.864,2.03
ACLS,0.25002,Semiconductor Equipment & Materials,,0.44279,2773745664.0,0.11581001,6.76,2268916480.0,15.772644,Technology,164246624.0,222092000.0,0.20646,1075736064.0,7.644,1.599,4.448,0.18285,12.622781,3.024,5.41
ACLX,-0.10792,Biotechnology,,0.95264,5760577536.0,-0.06292,-0.71,5251652608.0,-47.346664,Healthcare,37498500.0,-40423000.0,-0.25942,155818000.0,13.526,0.265,4.286,-1.29143,,4.216,-2.25
ACM,0.16784,Engineering & Construction,0.007900001,0.06582,14959196160.0,0.04756,2.71,16653780992.0,22.360723,Industrials,688704128.0,371476992.0,0.01611,15837388800.0,126.242,1.168,1.132,0.060450003,41.17343,0.996,4.99
ACMR,0.118590005,Semiconductor Equipment & Materials,,0.4936,1195564672.0,0.05086,1.33,1178569600.0,9.789743,Technology,-99388128.0,90247000.0,0.1238,728968000.0,16.483,1.537,2.369,0.21661,14.353383,1.316,1.95
ACN,0.26674998,Information Technology Services,0.0166,0.32609,223261048832.0,0.11627,11.43,223251202048.0,25.394457,Technology,7641968128.0,7264786944.0,0.111940004,64896462848.0,14.127,1.245,1.099,0.14597,31.25984,0.984,14.07
ACNB,0.104370005,Banks - Regional,0.026099999,,420250144.0,0.012200001,3.44,657359424.0,12.768831,Financial Services,,29348000.0,0.27582002,106401000.0,,0.595,,0.40557998,14.290697,,3.85
ACNT,-0.24615,Steel,,0.050619997,97095872.0,-0.056209996,-2.61,126168224.0,11.9875,Basic Materials,46741752.0,-26506000.0,-0.07249,182264000.0,32.33,0.794,3.163,-0.00391,,1.256,0.8
ACON,-7.14178,Health Information Services,,-0.51526,1866939.0,-1.15333,-4.13,1139624.0,-0.3409259,Healthcare,-3944406.0,-5900537.0,,53947.0,47.321,0.396,1.28,-103.50571,,0.859,-0.54
ACONW,-7.14178,Health Information Services,,-0.51526,,-1.15333,-6.576,,,Healthcare,-3944406.0,-5900537.0,,53947.0,47.321,0.396,1.28,-103.50571,,0.859,
ACP,0.119370006,Asset Management,0.1832,1.0,341320512.0,0.04284,0.92,485404800.0,,Financial Services,25060956.0,45387592.0,1.0924801,43473000.0,26.962,1.003,0.132,0.84865,7.1195655,0.101,
ACP^A,,,,,,,,,,,,,,,,,,,,,
ACR,0.05766,REIT - Mortgage,,0.46220002,126759008.0,0.01208,0.82,1592496640.0,8.473684,Real Estate,,6868000.0,0.3395,77437000.0,343.253,2.051,63.479,0.23039,19.634148,56.607,1.9
ACR^C,,,,,,,,,,,,,,,,,,,,,
ACR^D,,,,,,,,,,,,,,,,,,,,,
ACRE,-0.10226,REIT - Mortgage,0.1387,1.0,393249280.0,-0.02962,-1.18,1667247104.0,21.205883,Real Estate,,-63742000.0,-1.6168699,39423000.0,238.284,1.503,90.06,-0.01273,,89.143,0.34
ACRS,-0.25833,Diagnostics & Research,,-2.8403602,187863264.0,-0.19393,-0.52,62386376.0,-4.534483,Healthcare,-22053376.0,-37004000.0,-1.3665199,27079000.0,1.725,0.116,7.033,-2.22526,,6.806,-0.58
ACRV,-0.37784,Biotechnology,,,254901184.0,-0.24414,-2.72,78584904.0,-3.048148,Healthcare,-31308376.0,-69002000.0,,,1.954,,16.161,,,15.999,-2.7
ACST,-0.18556999,Biotechnology,,,34171460.0,-0.116210006,-1.43,13139954.0,-2.674603,Healthcare,-5580375.0,-11447000.0,,,,1.523,7.857,,,7.618,-1.26
ACT,0.14380999,Insurance - Specialty,0.0215,0.78363,5295748608.0,0.09300999,4.29,5363550720.0,8.209524,Financial Services,561875264.0,682638016.0,0.57068,1196188032.0,14.747,0.569,1.218,0.78361,8.037296,1.146,4.2
ACTG,0.14303,Business Equipment & Supplies,,0.57147,474773760.0,0.03596,0.75,153349920.0,-22.52381,Industrials,-95083248.0,60470000.0,0.44417,152552992.0,14.15,0.526,11.174,-0.18415001,6.306667,10.422,-0.21
ACTU,,Biotechnology,,,175198464.0,,-1.51,277186368.0,,Healthcare,,-28818356.0,,,,,0.027,,,0.018,
ACU,0.20312001,Household & Personal Products,0.014199999,0.39367,155890784.0,0.0542,5.06,188825936.0,18.83482,Consumer Defensive,,19522160.0,0.10248,190488944.0,35.11,0.662,4.411,0.060749996,8.337944,1.655,2.24
ACV,,Asset Management,0.1233,,232170112.0,,1.8,,,Financial Services,,,,,,,,,12.433333,,
ACVA,-0.16636999,Auto & Truck Dealerships,,0.25459,3537203968.0,-0.04977,-0.47,3405809152.0,-162.30771,Consumer Cyclical,2900000.0,-76804000.0,-0.12886,596019008.0,34.273,1.583,1.514,-0.09879,,1.474,-0.13
ACXP,-3.46942,Biotechnology,,,29890984.0,-1.3221699,-1.16,23530124.0,-1.1870968,Healthcare,-5961016.0,-16729286.0,,,,-1.722,2.087,,,2.034,-1.55
ADAG,-0.45701,Biotechnology,,1.0,107135336.0,-0.19587,-0.73,59035864.0,-3.5072465,Healthcare,-16924380.0,-31849280.0,,815746.0,36.74,0.577,2.5,-45.34833,,2.422,-0.69
ADAP,-0.65044,Biotechnology,,-0.0367,210759456.0,-0.15837,-0.36,1097117952.0,-2.1686842,Healthcare,-7946125.0,-72500000.0,-0.51252,141459008.0,49.18,2.247,3.092,0.53575003,,2.907,-0.38
ADBE,0.35355,Software - Infrastructure,,0.88657,222072094720.0,0.15969,11.8,220635103232.0,24.548906,Technology,6618500096.0,5360000000.0,0.25588,20946999296.0,41.788,1.299,1.111,0.36834,42.752544,0.966,20.55
ADC,0.03616,REIT - Retail,0.0399,0.87944,8280858112.0,0.02317,1.81,10719264768.0,41.769226,Real Estate,353131008.0,181994000.0,0.31624,600526016.0,51.084,0.618,1.085,0.48819,42.0,0.968,1.82
ADC^A,,,,,,,,,,,,,,,,,,,,,
ADCT,,Biotechnology,,-0.8464,288135008.0,-0.2117,-2.54,461039072.0,-2.0,Healthcare,-89609128.0,-212150000.0,-2.99999,70717000.0,,1.602,4.92,-1.92613,,4.408,-1.49
ADD,-1.24251,Entertainment,,0.29573,8654089.0,-0.58576,-0.71,10473528.0,,Communication Services,-931988.0,-26864340.0,,2830442.0,9.93,2.238,1.156,-3.2027302,,0.179,
ADEA,0.114379995,Software - Application,0.0167,1.0,1302479872.0,0.05752,0.41,1748478592.0,8.794118,Technology,110249752.0,41295000.0,0.12014,343723008.0,141.085,1.13,3.423,0.37614,29.170732,3.283,1.36
ADGM,,Medical Devices,,,34807760.0,,-2.76,138972464.0,,Healthcare,,-34800000.0,,399000.0,,-0.096,0.103,-26.216541,,0.034,
ADI,0.04658,Semiconductors,0.0167,0.57852,109461807104.0,0.0286,3.33,115034537984.0,29.240053,Technology,2862019584.0,1655630976.0,0.17068,9700435968.0,23.07,1.078,1.687,0.2178,66.20721,1.138,7.54
ADIL,-3.20963,Biotechnology,,,6469837.0,-1.04181,-3.99,3179366.0,-0.75939846,Healthcare,-2989877.0,-12186995.0,,,,1.296,5.691,,,4.894,-1.33
