Year,Company,Market_Cap
2020,AON,43409337809.32617
2021,AON,60660612010.98633
2022,AON,57269341608.947754
2023,AON,69836971636.77979
2020,APA,3254283136.234497
2021,APA,7415468063.549011
2022,APA,11980457662.153564
2023,APA,14760387993.324097
2020,AIV,473040228.82855225
2021,AIV,967917385.4286041
2022,AIV,1033745668.6097717
2023,AIV,962941172.6097717
2020,AAPL,1720719666837.0625
2021,AAPL,2115947622636.0938
2022,AAPL,2078180736364.0
2023,AAPL,2589841763081.0
2020,AMAT,47375716998.53125
2021,AMAT,103453722577.64062
2022,AMAT,66399081342.671875
2023,AMAT,113277314272.53125
2020,ADM,20136280586.514404
2021,ADM,26665528107.369873
2022,ADM,36473620859.671875
2023,ADM,34917295446.38672
2020,AJG,22085028256.988525
2021,AJG,31546013720.703125
2022,AJG,36780790664.67285
2023,AJG,49486384152.22168
2020,AIZ,5842458264.729309
2021,AIZ,7737967702.667236
2022,AIZ,7242687158.68988
2023,AIZ,7314792037.109375
2020,T,113944135480.95703
2021,T,118598114785.7666
2022,T,96588133346.55762
2023,T,100793323034.3628
2020,ADSK,49784731058.09375
2021,ADSK,61456702142.4375
2022,ADSK,40257080363.28125
2023,ADSK,44590966323.9375
2020,ADP,52405831854.850586
2021,ADP,76605975334.68066
2022,ADP,88287984369.65332
2023,ADP,95922947784.83691
2020,AN,2100220068.1091309
2021,AN,4831339476.763916
2022,AN,4042120212.9821777
2023,AN,6007430637.817383
2020,AZO,19932734887.939453
2021,AZO,28740178574.70703
2022,AZO,36254306022.94922
2023,AZO,42991870574.70703
2020,AVB,18552019547.30713
2021,AVB,28264613742.40869
2022,AVB,24358539945.63867
2023,AVB,23606681745.546387
2020,AVY,9673020210.660645
2021,AVY,15895363847.81543
2022,AVY,12674732379.20996
2023,AVY,14477974029.416992
2020,BAC,169386498622.85156
2021,BAC,304659012329.1797
2022,BAC,221560931226.15234
2023,BAC,206687830310.80078
2020,BAX,37609005989.25293
2021,BAX,38120775944.04346
2022,BAX,25938523072.764404
2023,BAX,18660003425.85498
2020,BDX,61924360650.3457
2021,BDX,66312818548.83984
2022,BDX,62455394144.021484
2023,BDX,73527771505.28906
2020,BBY,20446649698.844727
2021,BBY,19896749465.845703
2022,BBY,12409050862.902344
2023,BBY,14271625363.401367
2020,BIIB,41321395093.13965
2021,BIIB,41220887957.51953
2022,BIIB,38891754000.0
2023,BIIB,37436592042.48047
2020,BLK,75551816654.29688
2021,BLK,114704269335.9375
2022,BLK,77230570517.57812
2023,BLK,93369931617.1875
2020,HRB,1954028065.501648
2021,HRB,3147034062.154785
2022,HRB,5552226354.8967285
2023,HRB,5805618134.831787
2020,BA,101837005628.7461
2021,BA,135532082845.89062
2022,BA,74612279062.41797
2023,BA,118117615526.32812
2020,BWA,7323198317.656128
2021,BWA,8294661602.21875
2022,BWA,6128386850.386475
2023,BWA,9075103003.159424
2020,BXP,10353769483.24585
2021,BXP,14500841934.127808
2022,BXP,10438903370.239258
2023,BXP,8862002170.410156
2020,BSX,56269191563.12695
2021,BSX,63897415495.41797
2022,BSX,57034959845.56348
2023,BSX,77754863721.27246
2020,BMY,104826292037.72559
2021,BMY,106936545426.46289
2022,BMY,131468483722.17969
2023,BMY,110881454071.9209
2020,AVGO,153564549244.72852
2021,AVGO,210916631800.31445
2022,AVGO,198944956042.2871
2023,AVGO,382042216327.72656
2020,CHRW,10822042039.634705
2021,CHRW,9419319571.044922
2022,CHRW,10701761465.400696
2023,CHRW,9814848149.024963
2020,CPB,12602610603.558594
2021,CPB,11231399723.365723
2022,CPB,13084194416.089844
2023,CPB,11743527163.15625
2020,COF,25454332991.94336
2021,COF,58218001390.13672
2022,COF,33749282923.583984
2023,COF,36365980646.484375
2020,CAH,10145140910.682678
2021,CAH,11069471674.301147
2022,CAH,15449384092.208862
2023,CAH,20488349073.165894
2020,KMX,14239065407.348633
2021,KMX,19824074898.16284
2022,KMX,10228081959.93042
2023,KMX,10957775040.06958
2020,CCL,17520149152.22168
2021,CCL,28865541864.16626
2022,CCL,8113745042.152405
2023,CCL,15835075508.19397
2020,CAT,66589465052.95508
2021,CAT,87548347288.90332
2022,CAT,76499049674.03125
2023,CAT,130083443659.22266
2020,CNC,30683331796.469727
2021,CNC,32776931019.352295
2022,CNC,40930394260.70703
2023,CNC,36232946057.29541
2020,CNP,11357028931.630127
2021,CNP,14817360185.390137
2022,CNP,17379783782.837036
2023,CNP,16996457886.890625
2020,CF,5066812700.4776
2021,CF,9478137093.276978
2022,CF,16616791431.82373
2023,CF,15093885223.266602
2020,SCHW,61072937026.13086
2021,SCHW,124287974779.00781
2022,SCHW,123936647681.9707
2023,SCHW,96101556596.41113
2020,CHTR,89118914778.65625
2021,CHTR,103852635791.03125
2022,CHTR,43300480794.421875
2023,CHTR,62780344146.90625
2021,CHK,6773752473.423004
2022,CHK,11225732805.18341
2023,CHK,11004537476.364136
2020,CVX,110053164867.11719
2021,CVX,163704936311.41992
2022,CVX,241095357285.76562
2023,CVX,293282931558.4844
2020,CMG,34064718948.288574
2021,CMG,49781142119.83301
2022,CMG,41159994162.35889
2023,CMG,50173089300.30762
2020,CB,43930757560.38281
2021,CB,66873781926.02344
2022,CB,71271890726.39062
2023,CB,82971964655.22656
2020,CHD,21892433414.293457
2021,CHD,19517205602.530273
2022,CHD,17076558436.0979
2023,CHD,22178186649.720703
2020,CI,44401841837.163086
2021,CI,53138771576.14746
2022,CI,74999723707.54492
2023,CI,78638228556.54492
2020,CINF,10993574558.71582
2021,CINF,16494840840.454102
2022,CINF,13243316363.52539
2023,CINF,15553119116.82129
2020,CTAS,30242305593.0625
2021,CTAS,35418367991.131836
2022,CTAS,37021597855.78174
2023,CTAS,47472132016.03223
2020,CSCO,137864738050.58496
2021,CSCO,196571538934.36816
2022,CSCO,148618627606.01074
2023,CSCO,206288499999.6123
2020,C,70458091738.16406
2021,C,118807218466.15625
2022,C,73064883825.42969
2023,C,75343947441.00781
2020,CFG,9476166473.960876
2021,CFG,18364424874.49646
2022,CFG,13935506842.23175
2023,CFG,11402189611.434937
2020,CME,51341875784.71387
2021,CME,61248214035.58008
2022,CME,57966911161.84668
2023,CME,68850178060.42969
2020,CMS,16239531527.13562
2021,CMS,16238464898.349487
2022,CMS,16278765461.406738
