Year,Company,Market_Cap
2023,ABSI,149893925.95624924
2021,ABSI,1320656292.995453
2023,ABT,165077143869.3584
2020,ABT,176521388365.42285
2022,ABT,161820698586.99316
2021,ABT,194465249042.4287
2022,ABTS,33599191.24569297
2021,ABTS,281237671.5747833
2020,ABTS,47998845.847690105
2023,ABTS,33776964.57615495
2022,ABUS,360573613.6987209
2021,ABUS,809874772.7985382
2020,ABUS,590887681.6043854
2023,ABUS,383227454.59890366
2021,ABVC,286943584.73854065
2022,ABVC,109311842.36927032
2020,ABVC,496872000.0
2023,ABVC,12918671.526145937
2021,AC,85366939.47154999
2020,AC,82018944.25907135
2023,AC,84181394.3497467
2022,AC,84324402.46135712
2020,ACA,2122544303.5888672
2021,ACA,2423847622.4975586
2023,ACA,3498753925.65918
2022,ACA,2773580428.161621
2022,ACAB,81837251.53873444
2023,ACAB,86084290.2884388
2021,ACAD,2755200461.242676
2022,ACAD,2713731461.242676
2023,ACAD,3456855865.310669
2020,ACAD,6842385000.0
2022,ACB,666861749.5742798
2023,ACB,319765674.7871399
2021,ACB,3782527193.1884766
2020,ACB,2541727200.0
2020,ACCD,3130477146.4570923
2021,ACCD,3396249528.212158
2022,ACCD,919733733.8244934
2023,ACCD,852082554.1755066
2021,ACCO,704351447.9676247
2020,ACCO,461397011.4606857
2022,ACCO,418011747.3907471
2023,ACCO,518014569.5737839
2022,ACDC,2435835997.7891235
2023,ACDC,1742399465.3673706
2023,ACEL,904851044.2386628
2021,ACEL,1003186500.3704072
2022,ACEL,645377783.2715988
2020,ACEL,885018711.1522675
2023,ACET,112889370.3929186
2020,ACET,979747918.2901382
2022,ACET,1171742242.0034409
2021,ACET,646023852.5733948
2020,ACGL,10999696032.0
2023,ACGL,29975581560.348637
2022,ACGL,17125680935.651367
2021,ACGL,14357893943.88379
2020,ACGLO,8264859397.905762
2021,ACGLO,8666411181.881104
2023,ACGLO,7825881001.435791
2022,ACGLO,7771756976.664307
2022,ACHC,7260357724.34082
2020,ACHC,2737725013.488769
2023,ACHC,6529492605.2734375
2021,ACHC,5923069902.636719
2021,ACHL,320074739.432621
2022,ACHL,92858653.60815524
2023,ACHL,37389990.07757306
2022,ACHR,962385219.5586852
2023,ACHR,1865773697.941101
2021,ACHR,3274322300.117798
2020,ACHV,287436677.0699501
2021,ACHV,291901050.0
2022,ACHV,113326288.3624792
2023,ACHV,147667596.55008316
2022,ACI,10327236390.8031
2021,ACI,12720595904.023315
2020,ACI,5532297405.523132
2023,ACI,12876299587.16565
2023,ACIC,354351622.4281311
2022,ACIC,30813183.311271667
2020,ACIC,269729615.4388428
2021,ACIC,169470318.62983704
2021,ACIU,663889443.6142731
2022,ACIU,312651369.1321144
2023,ACIU,281979856.9643173
2020,ACIU,482828694.8428192
2023,ACIW,2361061864.107132
2021,ACIW,3216109562.0918274
2020,ACIW,2734687322.16835
2022,ACIW,2187331260.076523
2020,ACLS,717587200.0
2021,ACLS,1534005688.1835938
2022,ACLS,1975321900.793457
2023,ACLS,5318299779.541016
2022,ACLX,1008994513.6074066
2023,ACLX,1928754573.417282
2020,ACM,5462836964.160919
2021,ACM,8245175222.476959
2022,ACM,8982325343.99414
2023,ACM,11002702718.8797
2022,ACMR,715814542.1915054
2023,ACMR,1040114118.7019348
2020,ACMR,1323241937.4465942
2021,ACMR,2106463406.3835144
2023,ACN,189194706909.1797
2020,ACN,133579178497.31444
